Drug1,Drug2,Cell line,ZIP,classification
5-Azacitidine,Carmustine,U251MG_CENTRAL_NERVOUS_SYSTEM,-7.53,antagonism
5-Azacitidine,Dasatinib,786O_KIDNEY,-8.81,antagonism
5-Azacitidine,Dasatinib,A549_LUNG,-7.8,antagonism
5-Azacitidine,Dasatinib,ACHN_KIDNEY,-9.36,antagonism
5-Azacitidine,Dasatinib,BT549_BREAST,-6.13,antagonism
5-Azacitidine,Dasatinib,HCT15_LARGE_INTESTINE,-6.9,antagonism
5-Azacitidine,Dasatinib,HT29_LARGE_INTESTINE,-6.34,antagonism
5-Azacitidine,Dasatinib,IGROV1_OVARY,-8.36,antagonism
5-Azacitidine,Dasatinib,NCIH226_LUNG,-5.54,antagonism
5-Azacitidine,Dasatinib,NCIH522_LUNG,-5.46,antagonism
5-Azacitidine,Dasatinib,OVCAR4_OVARY,-9.12,antagonism
5-Azacitidine,Dasatinib,PC3_PROSTATE,-5.25,antagonism
5-Azacitidine,Dasatinib,SF295_CENTRAL_NERVOUS_SYSTEM,-5.78,antagonism
5-Azacitidine,Dasatinib,SKOV3_OVARY,-8.17,antagonism
5-Azacitidine,Dasatinib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.2,synergy
5-Azacitidine,Dasatinib,SW620_LARGE_INTESTINE,-8.24,antagonism
5-Azacitidine,Dasatinib,UACC62_SKIN,-7.51,antagonism
5-Azacitidine,Dasatinib,UO31_KIDNEY,-6.06,antagonism
5-Azacitidine,Decitabine,786O_KIDNEY,-5.77,antagonism
5-Azacitidine,Decitabine,ACHN_KIDNEY,-11.73,antagonism
5-Azacitidine,Decitabine,BT549_BREAST,-5.79,antagonism
5-Azacitidine,Decitabine,CAKI1_KIDNEY,-6.02,antagonism
5-Azacitidine,Decitabine,DU145_PROSTATE,-8.86,antagonism
5-Azacitidine,Decitabine,IGROV1_OVARY,-5.25,antagonism
5-Azacitidine,Decitabine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.58,antagonism
5-Azacitidine,Decitabine,KM12_LARGE_INTESTINE,-5.6,antagonism
5-Azacitidine,Decitabine,MDAMB231_BREAST,-9.7,antagonism
5-Azacitidine,Decitabine,MDAMB435S_SKIN,-6.32,antagonism
5-Azacitidine,Decitabine,NCIH226_LUNG,-6.12,antagonism
5-Azacitidine,Decitabine,NCIH522_LUNG,-8.17,antagonism
5-Azacitidine,Decitabine,OVCAR4_OVARY,-5.93,antagonism
5-Azacitidine,Decitabine,SF539_CENTRAL_NERVOUS_SYSTEM,-6.34,antagonism
5-Azacitidine,Decitabine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-10.64,antagonism
5-Azacitidine,Decitabine,SW620_LARGE_INTESTINE,-7.88,antagonism
5-Azacitidine,Decitabine,U251MG_CENTRAL_NERVOUS_SYSTEM,-5.43,antagonism
5-Azacitidine,Everolimus,786O_KIDNEY,-7.31,antagonism
5-Azacitidine,Everolimus,A549_LUNG,-6.24,antagonism
5-Azacitidine,Everolimus,ACHN_KIDNEY,-6.86,antagonism
5-Azacitidine,Everolimus,BT549_BREAST,-7.56,antagonism
5-Azacitidine,Everolimus,CAKI1_KIDNEY,-6.17,antagonism
5-Azacitidine,Everolimus,DU145_PROSTATE,-12.06,antagonism
5-Azacitidine,Everolimus,HCT15_LARGE_INTESTINE,-7.29,antagonism
5-Azacitidine,Everolimus,HOP62_LUNG,-9.86,antagonism
5-Azacitidine,Everolimus,IGROV1_OVARY,-5.07,antagonism
5-Azacitidine,Everolimus,MALME3M_SKIN,-5.65,antagonism
5-Azacitidine,Everolimus,MDAMB435S_SKIN,-9.97,antagonism
5-Azacitidine,Everolimus,NCIH2122_LUNG,-5.97,antagonism
5-Azacitidine,Everolimus,NCIH460_LUNG,-5.31,antagonism
5-Azacitidine,Everolimus,NCIH522_LUNG,-5.97,antagonism
5-Azacitidine,Everolimus,OVCAR4_OVARY,-11.82,antagonism
5-Azacitidine,Everolimus,SF295_CENTRAL_NERVOUS_SYSTEM,-8.14,antagonism
5-Azacitidine,Everolimus,SKMEL28_SKIN,-6.69,antagonism
5-Azacitidine,Everolimus,SW620_LARGE_INTESTINE,-7.99,antagonism
5-Azacitidine,Everolimus,T47D_BREAST,-6.36,antagonism
5-Azacitidine,Everolimus,UACC62_SKIN,-9.63,antagonism
5-Azacitidine,Everolimus,UO31_KIDNEY,-6.32,antagonism
5-Azacitidine,Fulvestrant,A498_KIDNEY,6.1,synergy
5-Azacitidine,Fulvestrant,HCT116_LARGE_INTESTINE,-6.95,antagonism
5-Azacitidine,Fulvestrant,HOP92_LUNG,-5.74,antagonism
5-Azacitidine,Fulvestrant,LOXIMVI_SKIN,-7.83,antagonism
5-Azacitidine,Fulvestrant,SKMEL5_SKIN,-5.08,antagonism
5-Azacitidine,Fulvestrant,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.62,antagonism
5-Azacitidine,Hydroxyurea,786O_KIDNEY,-6.17,antagonism
5-Azacitidine,Hydroxyurea,A549_LUNG,-5.15,antagonism
5-Azacitidine,Hydroxyurea,BT549_BREAST,-7.91,antagonism
5-Azacitidine,Hydroxyurea,HOP62_LUNG,-6.61,antagonism
5-Azacitidine,Hydroxyurea,HT29_LARGE_INTESTINE,-8.12,antagonism
5-Azacitidine,Hydroxyurea,KM12_LARGE_INTESTINE,-5.68,antagonism
5-Azacitidine,Hydroxyurea,MALME3M_SKIN,-5.59,antagonism
5-Azacitidine,Hydroxyurea,MDAMB231_BREAST,-5.55,antagonism
5-Azacitidine,Hydroxyurea,NCIH2122_LUNG,-5.55,antagonism
5-Azacitidine,Hydroxyurea,NCIH226_LUNG,-7.74,antagonism
5-Azacitidine,Hydroxyurea,NCIH522_LUNG,-8.92,antagonism
5-Azacitidine,Hydroxyurea,OVCAR4_OVARY,-7.34,antagonism
5-Azacitidine,Hydroxyurea,PC3_PROSTATE,-8.53,antagonism
5-Azacitidine,Hydroxyurea,SF539_CENTRAL_NERVOUS_SYSTEM,-8.54,antagonism
5-Azacitidine,Hydroxyurea,UO31_KIDNEY,-7.14,antagonism
5-Azacitidine,Ifosfamide,786O_KIDNEY,-5.91,antagonism
5-Azacitidine,Ifosfamide,ACHN_KIDNEY,-7.86,antagonism
5-Azacitidine,Ifosfamide,BT549_BREAST,-10.13,antagonism
5-Azacitidine,Ifosfamide,DU145_PROSTATE,-6.02,antagonism
5-Azacitidine,Ifosfamide,HCT15_LARGE_INTESTINE,-9.14,antagonism
5-Azacitidine,Ifosfamide,HOP62_LUNG,-7.33,antagonism
5-Azacitidine,Ifosfamide,IGROV1_OVARY,-6.96,antagonism
5-Azacitidine,Ifosfamide,MDAMB231_BREAST,-7.85,antagonism
5-Azacitidine,Ifosfamide,NCIH522_LUNG,-6.63,antagonism
5-Azacitidine,Ifosfamide,OVCAR4_OVARY,-10.06,antagonism
5-Azacitidine,Ifosfamide,SF295_CENTRAL_NERVOUS_SYSTEM,-6.62,antagonism
5-Azacitidine,Ifosfamide,SW620_LARGE_INTESTINE,-8.7,antagonism
5-Azacitidine,Imiquimod,786O_KIDNEY,-6.64,antagonism
5-Azacitidine,Imiquimod,BT549_BREAST,-6.11,antagonism
5-Azacitidine,Imiquimod,HCT15_LARGE_INTESTINE,-6.07,antagonism
5-Azacitidine,Imiquimod,HOP62_LUNG,-10.53,antagonism
5-Azacitidine,Imiquimod,HT29_LARGE_INTESTINE,-9.24,antagonism
5-Azacitidine,Imiquimod,KM12_LARGE_INTESTINE,-11.76,antagonism
5-Azacitidine,Imiquimod,MCF7_BREAST,5.01,synergy
5-Azacitidine,Imiquimod,MDAMB231_BREAST,-10.57,antagonism
5-Azacitidine,Imiquimod,NCIH226_LUNG,-9.19,antagonism
5-Azacitidine,Imiquimod,NCIH522_LUNG,-8.17,antagonism
5-Azacitidine,Imiquimod,OVCAR4_OVARY,-9.04,antagonism
5-Azacitidine,Imiquimod,OVCAR8_OVARY,-9.03,antagonism
5-Azacitidine,Imiquimod,PC3_PROSTATE,-5.31,antagonism
5-Azacitidine,Imiquimod,SF295_CENTRAL_NERVOUS_SYSTEM,-6.56,antagonism
5-Azacitidine,Imiquimod,SKMEL5_SKIN,-5.99,antagonism
5-Azacitidine,Imiquimod,U251MG_CENTRAL_NERVOUS_SYSTEM,-8.37,antagonism
5-Azacitidine,Imiquimod,UO31_KIDNEY,-6.82,antagonism
5-Azacitidine,Ixabepilone,CAKI1_KIDNEY,-8.07,antagonism
5-Azacitidine,Ixabepilone,HCT116_LARGE_INTESTINE,-5.24,antagonism
5-Azacitidine,Ixabepilone,HCT15_LARGE_INTESTINE,5.67,synergy
5-Azacitidine,Ixabepilone,IGROV1_OVARY,-7.66,antagonism
5-Azacitidine,Ixabepilone,MDAMB231_BREAST,-6.39,antagonism
5-Azacitidine,Ixabepilone,NCIH226_LUNG,-7.09,antagonism
5-Azacitidine,Ixabepilone,UO31_KIDNEY,-8.4,antagonism
5-Azacitidine,Methotrexate,A498_KIDNEY,-9.34,antagonism
5-Azacitidine,Methotrexate,BT549_BREAST,-6.2,antagonism
5-Azacitidine,Methotrexate,HOP92_LUNG,-9.08,antagonism
5-Azacitidine,Methotrexate,MCF7_BREAST,-8.3,antagonism
5-Azacitidine,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,-7.5,antagonism
5-Azacitidine,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,-9.3,antagonism
5-Azacitidine,Methotrexate,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,8.5,synergy
5-Azacitidine,Methoxsalen,786O_KIDNEY,-5.97,antagonism
5-Azacitidine,Methoxsalen,ACHN_KIDNEY,-9.79,antagonism
5-Azacitidine,Methoxsalen,BT549_BREAST,-8.45,antagonism
5-Azacitidine,Methoxsalen,DU145_PROSTATE,-6.34,antagonism
5-Azacitidine,Methoxsalen,HCT15_LARGE_INTESTINE,-7.62,antagonism
5-Azacitidine,Methoxsalen,HOP62_LUNG,-6.65,antagonism
5-Azacitidine,Methoxsalen,HT29_LARGE_INTESTINE,-6.95,antagonism
5-Azacitidine,Methoxsalen,IGROV1_OVARY,-7.07,antagonism
5-Azacitidine,Methoxsalen,MDAMB231_BREAST,-6.2,antagonism
5-Azacitidine,Methoxsalen,NCIH226_LUNG,-5.06,antagonism
5-Azacitidine,Methoxsalen,NCIH522_LUNG,-7.7,antagonism
5-Azacitidine,Methoxsalen,OVCAR4_OVARY,-7.63,antagonism
5-Azacitidine,Methoxsalen,OVCAR8_OVARY,9.1,synergy
5-Azacitidine,Methoxsalen,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.13,synergy
5-Azacitidine,Methoxsalen,SW620_LARGE_INTESTINE,-7.04,antagonism
5-Azacitidine,Mitotane,HCT116_LARGE_INTESTINE,6.32,synergy
5-Azacitidine,Mitotane,LOXIMVI_SKIN,-6.76,antagonism
5-Azacitidine,Mitotane,MDAMB231_BREAST,-6.41,antagonism
5-Azacitidine,Mitotane,SF539_CENTRAL_NERVOUS_SYSTEM,6.22,synergy
5-Azacitidine,Mitotane,SKMEL5_SKIN,-8.61,antagonism
5-Azacitidine,Mitotane,T47D_BREAST,-5.86,antagonism
5-Azacitidine,Pentostatin,786O_KIDNEY,-6.37,antagonism
5-Azacitidine,Pentostatin,ACHN_KIDNEY,-5.81,antagonism
5-Azacitidine,Pentostatin,HCT15_LARGE_INTESTINE,-8.97,antagonism
5-Azacitidine,Pentostatin,HOP62_LUNG,-9.28,antagonism
5-Azacitidine,Pentostatin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.67,synergy
5-Azacitidine,Pentostatin,MALME3M_SKIN,-5.12,antagonism
5-Azacitidine,Pentostatin,MDAMB231_BREAST,-12.41,antagonism
5-Azacitidine,Pentostatin,NCIH226_LUNG,-7.34,antagonism
5-Azacitidine,Pentostatin,NCIH522_LUNG,-9.9,antagonism
5-Azacitidine,Pentostatin,OVCAR4_OVARY,-9.05,antagonism
5-Azacitidine,Pentostatin,OVCAR8_OVARY,-6.93,antagonism
5-Azacitidine,Pentostatin,PC3_PROSTATE,-5.9,antagonism
5-Azacitidine,Pentostatin,SKMEL5_SKIN,-6.14,antagonism
5-Azacitidine,Pentostatin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.28,synergy
5-Azacitidine,Pipobroman,786O_KIDNEY,-7.58,antagonism
5-Azacitidine,Pipobroman,A498_KIDNEY,-5.18,antagonism
5-Azacitidine,Pipobroman,A549_LUNG,-11.68,antagonism
5-Azacitidine,Pipobroman,BT549_BREAST,-10.01,antagonism
5-Azacitidine,Pipobroman,HCT15_LARGE_INTESTINE,-6.69,antagonism
5-Azacitidine,Pipobroman,HOP62_LUNG,-7.49,antagonism
5-Azacitidine,Pipobroman,HS578T_BREAST,-6.3,antagonism
5-Azacitidine,Pipobroman,IGROV1_OVARY,-7.27,antagonism
5-Azacitidine,Pipobroman,MALME3M_SKIN,-5.2,antagonism
5-Azacitidine,Pipobroman,MCF7_BREAST,-6.73,antagonism
5-Azacitidine,Pipobroman,MDAMB231_BREAST,-11.1,antagonism
5-Azacitidine,Pipobroman,NCIH2122_LUNG,-6.57,antagonism
5-Azacitidine,Pipobroman,NCIH226_LUNG,-6.65,antagonism
5-Azacitidine,Pipobroman,NCIH23_LUNG,8.24,synergy
5-Azacitidine,Pipobroman,NCIH522_LUNG,-12.99,antagonism
5-Azacitidine,Pipobroman,PC3_PROSTATE,-7.27,antagonism
5-Azacitidine,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.06,antagonism
5-Azacitidine,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,-6.14,antagonism
5-Azacitidine,Pipobroman,SF539_CENTRAL_NERVOUS_SYSTEM,-6.29,antagonism
5-Azacitidine,Pipobroman,SKMEL5_SKIN,-6.64,antagonism
5-Azacitidine,Pipobroman,SKOV3_OVARY,-5.18,antagonism
5-Azacitidine,Pipobroman,SNB75_CENTRAL_NERVOUS_SYSTEM,-6.42,antagonism
5-Azacitidine,Pipobroman,UACC257_SKIN,-7.25,antagonism
5-Azacitidine,Pipobroman,UO31_KIDNEY,-9.29,antagonism
5-Azacitidine,Sorafenib,786O_KIDNEY,-5.49,antagonism
5-Azacitidine,Sorafenib,BT549_BREAST,-7.95,antagonism
5-Azacitidine,Sorafenib,CAKI1_KIDNEY,-10.14,antagonism
5-Azacitidine,Sorafenib,HCT15_LARGE_INTESTINE,-6.68,antagonism
5-Azacitidine,Sorafenib,HT29_LARGE_INTESTINE,-8.42,antagonism
5-Azacitidine,Sorafenib,KM12_LARGE_INTESTINE,-5.74,antagonism
5-Azacitidine,Sorafenib,MDAMB435S_SKIN,-7.42,antagonism
5-Azacitidine,Sorafenib,NCIH522_LUNG,-12.27,antagonism
5-Azacitidine,Sorafenib,OVCAR4_OVARY,-5.75,antagonism
5-Azacitidine,Sorafenib,PC3_PROSTATE,-6.4,antagonism
5-Azacitidine,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,-6.34,antagonism
5-Azacitidine,Sorafenib,SKMEL28_SKIN,-6.39,antagonism
5-Azacitidine,Sorafenib,SKOV3_OVARY,-5.74,antagonism
5-Azacitidine,Sorafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,-8.31,antagonism
5-Azacitidine,Sorafenib,UO31_KIDNEY,-6.8,antagonism
5-Azacitidine,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,23.47,synergy
5-Azacitidine,Thalidomide,A549_LUNG,-5.93,antagonism
5-Azacitidine,Thalidomide,ACHN_KIDNEY,-5.82,antagonism
5-Azacitidine,Thalidomide,HCT15_LARGE_INTESTINE,-9.42,antagonism
5-Azacitidine,Thalidomide,HOP62_LUNG,-6.18,antagonism
5-Azacitidine,Thalidomide,HT29_LARGE_INTESTINE,-10.33,antagonism
5-Azacitidine,Thalidomide,IGROV1_OVARY,-7.29,antagonism
5-Azacitidine,Thalidomide,MDAMB231_BREAST,-8.81,antagonism
5-Azacitidine,Thalidomide,NCIH522_LUNG,-7.24,antagonism
5-Azacitidine,Thalidomide,OVCAR4_OVARY,-7.13,antagonism
5-Azacitidine,Thalidomide,OVCAR8_OVARY,5.56,synergy
5-Azacitidine,Thalidomide,SW620_LARGE_INTESTINE,-9.18,antagonism
5-Azacitidine,Valrubicin,A498_KIDNEY,6.41,synergy
5-Azacitidine,Valrubicin,DU145_PROSTATE,-6.02,antagonism
5-Azacitidine,Valrubicin,KM12_LARGE_INTESTINE,5.56,synergy
5-Azacitidine,Valrubicin,MDAMB468_BREAST,-5.54,antagonism
5-Azacitidine,Valrubicin,OVCAR8_OVARY,8.57,synergy
5-Azacitidine,Valrubicin,SNB75_CENTRAL_NERVOUS_SYSTEM,5.47,synergy
5-Azacitidine,Valrubicin,UO31_KIDNEY,-8.5,antagonism
842166X,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,-8.32,antagonism
AC-480,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,27.58,synergy
ACY-1215,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,49.09,synergy
AEE-788,AT-7519,TC71_BONE,5.765,synergy
AEE-788,Carfilzomib,TC71_BONE,24.326,synergy
AEE-788,Cytarabine,TC71_BONE,11.317,synergy
AEE-788,Danusertib,TC71_BONE,-9.614,antagonism
AEE-788,KX-01,TC71_BONE,9.4,synergy
AEE-788,Ombrabulin,TC71_BONE,14.38,synergy
AEE-788,Pralatrexate,TC71_BONE,12.152,synergy
AEE-788,Romidepsin,TC71_BONE,10.39,synergy
AEE-788,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,54.57,synergy
AEE-788,Tivantinib,TC71_BONE,11.566,synergy
AST-1306,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,38.39,synergy
AT-7519,AEE-788,TC71_BONE,11.314,synergy
AT-7519,AZD-8055,TC71_BONE,-8.218,antagonism
AT-7519,Carfilzomib,TC71_BONE,8.3095,synergy
AT-7519,Cytarabine,TC71_BONE,10.479,synergy
AT-7519,Etoposide,TC71_BONE,14.745,synergy
AT-7519,KX-01,TC71_BONE,5.603,synergy
AT-7519,Niraparib,EW8_BONE,5.31,synergy
AT-7519,Ombrabulin,TC71_BONE,9.2065,synergy
AT-7519,PF-3758309,EW8_BONE,15.316666666666668,synergy
AT-7519,PF-3758309,TC71_BONE,12.596,synergy
AT-7519,Pralatrexate,TC71_BONE,11.5045,synergy
AT-7519,Romidepsin,TC71_BONE,6.5435,synergy
AVN944,AEE-788,TC71_BONE,10.777,synergy
AVN944,AT-7519,TC71_BONE,9.793,synergy
AVN944,Carfilzomib,TC71_BONE,6.311,synergy
AVN944,Cytarabine,TC71_BONE,6.137,synergy
AVN944,Danusertib,TC71_BONE,8.168,synergy
AVN944,Etoposide,TC71_BONE,5.906,synergy
AVN944,Pelitinib,TC71_BONE,11.048,synergy
AVN944,Romidepsin,TC71_BONE,7.241,synergy
AZD-3514,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,17.18,synergy
AZD-5363,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,46.1,synergy
AZD-5438,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,-5.1,antagonism
AZD-6482,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,25.94,synergy
AZD-8055,AEE-788,TC71_BONE,13.420000000000002,synergy
AZD-8055,AT-7519,TC71_BONE,-25.038,antagonism
AZD-8055,Carfilzomib,TC71_BONE,9.74,synergy
AZD-8055,Cobimetinib,RD_SOFT_TISSUE,20.962,synergy
AZD-8055,Cytarabine,TC71_BONE,6.615,synergy
AZD-8055,Etoposide,TC71_BONE,-13.685,antagonism
AZD-8055,Everolimus,TC71_BONE,6.439,synergy
AZD-8055,Ombrabulin,TC71_BONE,7.222,synergy
AZD-8055,Romidepsin,TC71_BONE,6.8155,synergy
AZD-8055,Tivantinib,TC71_BONE,5.326,synergy
AZD-8055,Trametinib,RD_SOFT_TISSUE,13.078,synergy
AZD-8330,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,22.63,synergy
Abemaciclib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,9,synergy
Abiraterone,5-Azacitidine,ACHN_KIDNEY,7.52,synergy
Abiraterone,5-Azacitidine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.07,synergy
Abiraterone,5-Azacitidine,LOXIMVI_SKIN,13.74,synergy
Abiraterone,5-Azacitidine,NCIH460_LUNG,-7.24,antagonism
Abiraterone,5-Azacitidine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.8,synergy
Abiraterone,5-Azacitidine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.06,synergy
Abiraterone,Allopurinol,CAKI1_KIDNEY,-5.55,antagonism
Abiraterone,Allopurinol,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.07,antagonism
Abiraterone,Allopurinol,KM12_LARGE_INTESTINE,-7.36,antagonism
Abiraterone,Allopurinol,OVCAR4_OVARY,-5.52,antagonism
Abiraterone,Allopurinol,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.71,synergy
Abiraterone,Allopurinol,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.86,antagonism
Abiraterone,Altretamine,HT29_LARGE_INTESTINE,5.94,synergy
Abiraterone,Altretamine,KM12_LARGE_INTESTINE,-10.28,antagonism
Abiraterone,Altretamine,LOXIMVI_SKIN,-8.19,antagonism
Abiraterone,Altretamine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,11.06,synergy
Abiraterone,Altretamine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-9.25,antagonism
Abiraterone,Altretamine,UO31_KIDNEY,22.62,synergy
Abiraterone,Anastrozole,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,9.09,synergy
Abiraterone,Anastrozole,KM12_LARGE_INTESTINE,-6.17,antagonism
